Protein_ID	Probability	Type
sp|P09167|AERA_AERHY	0.04835647	Mesophilic
sp|P26918|BLAB_AERHY	0.22878447	Mesophilic
sp|O69199|CYAB_AERHY	0.0004357583	Mesophilic
sp|Q07465|RNI_AERHY	0.0012983679	Mesophilic
sp|Q9YER2|G1PDH_AERPE	0.83546054	Thermophilic
sp|Q9Y9L0|TDXH_AERPE	0.5622391	Thermophilic
sp|Q9YD18|DNLI_AERPE	0.95365655	Thermophilic
sp|Q9YE01|PGMI_AERPE	0.9581937	Thermophilic
